市町村コード,都道府県名,市町村名,障がい部位,年度,身体障がい者手帳所持者数（人）,1級（人）,2級（人）,3級（人）,4級（人）,5級（人）,6級（人）
052124,秋田県,大仙市,視覚障がい,2015（平成27）,293,96,95,25,18,44,15
052124,秋田県,大仙市,聴覚・平衡機能障がい,2015（平成27）,351,16,88,52,68,2,125
052124,秋田県,大仙市,音声・言語・そしゃく機能障がい,2015（平成27）,50,2,7,28,13,0,0
052124,秋田県,大仙市,肢体不自由,2015（平成27）,3189,596,711,706,815,245,116
052124,秋田県,大仙市,内部障がい,2015（平成27）,1065,675,12,139,239,0,0
052124,秋田県,大仙市,全体,2015（平成27）,4948,1385,913,950,1153,291,256
052124,秋田県,大仙市,視覚障がい,2016（平成28）,292,77,82,28,24,46,35
052124,秋田県,大仙市,聴覚・平衡機能障がい,2016（平成28）,343,6,83,53,77,2,122
052124,秋田県,大仙市,音声・言語・そしゃく機能障がい,2016（平成28）,48,0,1,36,11,0,0
052124,秋田県,大仙市,肢体不自由,2016（平成28）,3126,282,815,792,857,253,127
052124,秋田県,大仙市,内部障がい,2016（平成28）,1061,675,0,144,242,0,0
052124,秋田県,大仙市,全体,2016（平成28）,4870,1040,981,1053,1211,301,284
052124,秋田県,大仙市,視覚障がい,2017（平成29）,281,74,82,27,19,42,37
052124,秋田県,大仙市,聴覚・平衡機能障がい,2017（平成29）,344,6,82,50,87,2,117
052124,秋田県,大仙市,音声・言語・そしゃく機能障がい,2017（平成29）,50,0,0,36,14,0,0
052124,秋田県,大仙市,肢体不自由,2017（平成29）,3040,282,793,757,845,233,130
052124,秋田県,大仙市,内部障がい,2017（平成29）,1063,667,2,136,258,0,0
052124,秋田県,大仙市,全体,2017（平成29）,4778,1029,959,1006,1223,277,284
052124,秋田県,大仙市,視覚障がい,2018（平成30）,268,103,83,17,12,37,16
052124,秋田県,大仙市,聴覚・平衡機能障がい,2018（平成30）,341,15,76,43,88,2,117
052124,秋田県,大仙市,音声・言語・そしゃく機能障がい,2018（平成30）,49,0,8,30,11,0,0
052124,秋田県,大仙市,肢体不自由,2018（平成30）,2954,547,667,635,753,233,119
052124,秋田県,大仙市,内部障がい,2018（平成30）,1067,642,7,161,257,0,0
052124,秋田県,大仙市,全体,2018（平成30）,4679,1307,851,886,1121,262,252
052124,秋田県,大仙市,視覚障がい,2019（令和1）,248,100,76,17,10,31,14
052124,秋田県,大仙市,聴覚・平衡機能障がい,2019（令和1）,337,16,74,42,93,2,110
052124,秋田県,大仙市,音声・言語・そしゃく機能障がい,2019（令和1）,41,1,7,24,9,0,0
052124,秋田県,大仙市,肢体不自由,2019（令和1）,2850,504,649,618,735,221,123
052124,秋田県,大仙市,内部障がい,2019（令和1）,1080,643,10,173,254,0,0
052124,秋田県,大仙市,全体,2019（令和1）,4556,1264,816,874,1101,254,247
052124,秋田県,大仙市,視覚障がい,2020（令和2）,234,95,72,19,7,29,12
052124,秋田県,大仙市,聴覚・平衡機能障がい,2020（令和2）,333,13,73,40,95,2,110
052124,秋田県,大仙市,音声・言語・そしゃく機能障がい,2020（令和2）,42,1,7,27,7,0,0
052124,秋田県,大仙市,肢体不自由,2020（令和2）,2792,498,632,598,710,227,127
052124,秋田県,大仙市,内部障がい,2020（令和2）,1082,617,7,187,271,0,0
052124,秋田県,大仙市,全体,2020（令和2）,4483,1224,791,871,1090,258,249
052124,秋田県,大仙市,視覚障がい,2021（令和3）,220,88,69,18,9,27,9
052124,秋田県,大仙市,聴覚・平衡機能障がい,2021（令和3）,326,11,71,35,97,2,110
052124,秋田県,大仙市,音声・言語・そしゃく機能障がい,2021（令和3）,38,1,7,24,6,0,0
052124,秋田県,大仙市,肢体不自由,2021（令和3）,2647,486,577,569,671,215,129
052124,秋田県,大仙市,内部障がい,2021（令和3）,1062,622,5,183,252,0,0
052124,秋田県,大仙市,全体,2021（令和3）,4293,1208,729,829,1035,244,248
